# ILLUSTRATIVE, NOT MARKET DATA. These normal volatilities are constructed, not
# observed; they are not a fit to any traded price.
# Snapshot as-of: 2026-07-24 (from src/yieldcurve/data/snapshot_manifest.toml).
# Construction rule, exactly as implemented in scripts/build_illustrative_vols.py:
#   sigma_bp(e, m) = (60.0 + 22.0 * e * exp(1 - e / 1.5)) * exp(-0.018 * m)
#   e = option expiry in years, m = underlying swap tenor in years.
# Expiry/maturity dates are asof + floor(years * 365.25) days.
# Shape is market-plausible: declining in expiry beyond a 1-2y hump, mild decay
# across swap tenor. Fully deterministic: regeneration is byte-identical.
expiry,maturity,vol
2027-01-22,2028-01-22,79.9725
2027-01-22,2029-01-22,78.5459
2027-01-22,2032-01-22,74.4169
2027-01-22,2037-01-22,68.0119
2027-07-24,2028-07-23,89.0854
2027-07-24,2029-07-23,87.4962
2027-07-24,2032-07-23,82.8967
2027-07-24,2037-07-23,75.7619
2028-07-23,2029-07-23,89.8946
2028-07-23,2030-07-24,88.2910
2028-07-23,2033-07-23,83.6497
2028-07-23,2038-07-24,76.4501
2029-07-23,2030-07-24,82.7766
2029-07-23,2031-07-24,81.2999
2029-07-23,2034-07-24,77.0262
2029-07-23,2039-07-24,70.3966
2031-07-24,2032-07-23,69.4063
2031-07-24,2033-07-23,68.1682
2031-07-24,2036-07-23,64.5847
2031-07-24,2041-07-23,59.0260
2033-07-23,2034-07-24,62.7959
2033-07-23,2035-07-24,61.6757
2033-07-23,2038-07-24,58.4335
2033-07-23,2043-07-24,53.4042
2036-07-23,2037-07-23,59.6771
2036-07-23,2038-07-24,58.6126
2036-07-23,2041-07-23,55.5314
2036-07-23,2046-07-24,50.7519
